PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
PR - Perus,0.0,0.0,0.0,0.0,7.2,0.1,0.0,0.0,0.0,0.0,7.5,9.9,0.0,1.0,0.0,0.0,12.4,0.0,0.0,1.7000000000000002,4.1,0.0,31.6,0.0,0.0,0.0,0.0,12.2,2.7,0.0,6.5,96.9,
ST - Santana,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,8.7,6.9,0.0,0.0,0.0,0.0,6.3,0.0,0.0,1.3,0.0,0.0,15.4,0.0,0.0,0.0,0.0,23.7,2.8,0.0,3.6,91.49999999999999,
COMDEC - Carandirú,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,27.2,9.4,0.0,0.0,0.0,0.0,10.100000000000001,0.0,0.0,2.1,0.5,0.2,12.5,0.0,0.0,0.0,1.0,33.5,13.3,0.0,1.2,120.6,
PRECIPITAÇÃO MÉDIA - ZN,0.0,0.0,0.0,0.0,11.6,0.025,0.0,0.0,0.0,0.0,11.0625,7.549999999999999,0.42500000000000004,0.125,0.0,0.0,10.075,0.0,0.0,2.2375000000000003,1.2999999999999998,0.0875,17.150000000000002,0.0375,0.0,0.0,1.4625,20.3875,4.35,0.0,3.825,91.7,
AF - Aricanduva / Vl. Formosa,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,14.0,8.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.2,5.7,3.0,19.4,0.0,0.0,0.0,0.0,2.5,1.0,4.6,3.5,77.3,
EM - Ermelino Matarazo,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,5.9,4.6,0.1,0.0,0.0,0.0,10.1,0.0,0.1,2.8,4.0,0.5,17.7,0.0,0.0,0.0,2.8,5.4,2.3,0.0,2.9,70.30000000000001,
GU - Guaianazes,0.0,0.0,0.0,0.0,18.1,2.4,0.0,0.0,0.0,0.0,8.7,5.7,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.8,4.6,0.0,24.0,0.0,0.0,0.0,6.3,1.6,1.0,1.2,0.7,86.1,
IQ - Itaquera,0.0,0.0,0.0,0.0,8.5,0.5,0.0,0.0,0.0,0.0,5.7,5.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.6,4.0,17.8,0.0,0.0,0.0,2.1,0.8,1.5,0.0,1.0,62.699999999999996,
IT - Itaim Paulista,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,6.8,3.6,0.0,0.0,0.0,0.0,10.8,0.0,0.8,3.8,27.0,1.7,26.2,0.0,0.0,0.0,2.3,2.3000000000000003,1.5,0.0,1.2,102.6,
MO - Móoca,0.0,0.0,0.0,0.0,9.3,0.2,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,2.4,0.3,0.0,19.8,0.0,0.0,0.0,0.0,8.5,1.8,0.0,1.2,69.1,
MP - São Miguel Paulista,0.0,0.0,0.0,0.0,12.6,0.3,0.0,0.0,0.0,0.0,6.5,4.4,0.1,0.0,0.0,0.0,14.6,0.0,0.0,3.0999999999999996,10.1,0.7,22.4,0.0,0.0,0.0,0.0,2.9,2.1,0.0,0.0,79.80000000000001,
PE - Penha,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,10.1,5.6,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.5,1.3,0.0,13.3,0.0,0.0,0.0,0.0,15.8,2.3,0.0,0.0,70.99999999999999,
SM - São Mateus,0.0,0.0,0.0,0.0,8.2,0.3,0.0,0.0,0.0,0.0,9.9,5.0,0.8,0.0,0.0,0.0,15.0,0.0,0.0,2.2,5.5,1.5,17.599999999999998,0.0,0.0,0.0,0.0,3.3,1.3,5.0,0.0,75.6,
CT - Cidade Tiradentes,0.0,0.0,0.0,0.0,3.6,1.06,0.0,0.0,0.0,0.0,12.600000000000001,5.2,0.6,0.0,0.0,0.0,9.3,0.0,0.0,1.7,3.6,0.0,18.099999999999998,0.0,0.0,0.0,0.3,3.4,1.3,7.2,2.4,70.36,
VP - Vila Prudente,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,12.6,4.0,0.2,0.0,0.0,0.0,6.3,0.0,0.0,2.7,14.0,0.0,16.4,0.0,0.0,0.0,0.0,4.4,4.5,4.0,2.0,75.5,
PRECIPITAÇÃO MÉDIA - ZL,0.0,0.0,0.0,0.0,10.036363636363635,0.4327272727272727,0.0,0.0,0.0,0.0,9.07272727272727,5.872727272727274,0.16363636363636364,0.0,0.0,0.0,10.172727272727272,0.0,0.08181818181818182,2.109090909090909,6.972727272727272,1.0363636363636362,19.336363636363636,0.0,0.0,0.0,1.2545454545454546,4.627272727272726,1.8727272727272728,2.0,1.3545454545454545,76.39636363636365,
Consolação (CGE),0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,13.8,4.7,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.8,0.0,20.2,0.0,0.0,0.0,0.0,24.0,2.0,0.0,3.5,90.8,
SE - Sé,0.0,0.0,0.0,0.0,7.300000000000001,0.0,0.0,0.0,0.0,0.0,10.0,5.2,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.8,3.5,0.0,13.5,0.0,0.0,0.0,0.0,6.5,2.9,0.0,2.5,64.19999999999999,
PRECIPITAÇÃO MÉDIA - ZC,0.0,0.0,0.0,0.0,7.550000000000001,0.0,0.0,0.0,0.0,0.0,11.9,4.95,0.0,0.0,0.0,0.0,10.5,0.0,0.0,2.9,2.15,0.0,16.85,0.0,0.0,0.0,0.0,15.25,2.45,0.0,3.0,77.5,
BT - Butantã,0.0,0.0,0.0,0.0,6.0,0.2,0.0,0.0,0.0,0.4,12.0,6.6000000000000005,0.1,0.0,0.0,0.0,16.2,0.0,0.0,1.0,3.9,1.0,14.999999999999998,0.0,0.0,0.0,0.1,27.5,0.9,0.0,2.5,93.4,
LA - Lapa,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,12.6,4.6,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.4,0.0,18.2,0.0,0.0,0.0,34.8,22.5,3.4,0.0,2.8,116.3,
PI - Pinheiros,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.3,6.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,5.5,3.0,0.0,13.6,0.0,0.0,0.0,4.7,15.5,6.0,0.0,3.3,84.89999999999999,
PRECIPITAÇÃO MÉDIA - ZO,0.0,0.0,0.0,0.0,2.9333333333333336,0.06666666666666667,0.0,0.0,0.0,0.20000000000000004,12.300000000000002,5.8999999999999995,0.03333333333333333,0.0,0.0,0.0,14.566666666666668,0.0,0.0,2.1666666666666665,2.766666666666667,0.3333333333333333,15.6,0.0,0.0,0.0,13.200000000000001,21.833333333333332,3.4333333333333336,0.0,2.8666666666666667,98.19999999999999,
MB - M Boi Mirim,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,2.2,2.3,14.25,0.0,0.2,0.0,0.0,10.8,0.0,0.0,1.9,3.0,2.0,9.2,0.0,0.0,0.0,0.0,26.200000000000003,0.4,0.0,0.0,72.85000000000001,
CL - Campo Limpo,0.0,0.0,0.0,0.0,3.2,0.6,0.0,0.0,0.0,0.0,5.4,5.0,2.0,0.0,0.0,0.0,11.4,0.0,0.0,1.4,1.8,0.0,12.2,0.0,0.0,0.0,6.0,15.2,3.0,0.0,0.0,67.2,
CS - Capela do Socorro,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.3,4.5,4.2,4.8999999999999995,0.7,0.0,0.0,10.3,0.0,0.0,1.7,3.8,1.5,23.4,0.0,0.0,0.0,5.4,5.4,0.8,0.0,6.1,78.5,
IP - Ipiranga,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,9.3,7.2,0.25,0.0,0.0,0.0,10.7,0.0,0.0,2.7,6.9,0.0,17.9,0.0,0.0,0.0,0.0,11.8,3.2,6.7,2.2,81.35000000000001,
JA - Jabaquara,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,4.9,1.4,0.0,0.0,0.0,10.0,0.0,0.0,0.0,7.4,1.4,13.500000000000002,0.0,0.0,0.0,0.0,10.8,2.9,0.0,0.0,63.79999999999999,
SA - Santo Amaro,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,7.9,12.2,1.0,0.0,0.0,0.0,13.8,0.0,0.0,3.0,5.0,2.7,16.7,3.4,0.0,0.0,0.0,17.3,2.0,0.0,0.5,89.00000000000001,
VM - Vila Mariana,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,9.5,6.4,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,1.8,0.0,17.3,0.0,0.0,0.0,0.0,19.0,1.2,0.0,3.0,75.7,
PA - Parelheiros ,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,5.9,9.8,13.0,2.0,0.0,0.0,9.0,0.0,0.0,1.2,4.5,0.0,39.8,0.0,0.5,0.0,0.0,11.2,0.3,18.8,1.3,118,
AD - Cidade Ademar,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,11.3,6.645454545454544,0.5,0.5,0.0,0.0,18.8,0.0,0.0,0.2,2.2,2.2,13.9,0.0,0.0,0.0,0.0,15.2,0.0,0.0,3.2,79.64545454545456,
PRECIPITAÇÃO MÉDIA - ZS,0.0,0.0,0.0,0.0,2.4222222222222225,0.34444444444444444,0.0,0.0,0.0,0.5,7.3999999999999995,7.843939393939394,2.561111111111111,0.37777777777777777,0.0,0.0,11.644444444444444,0.0,0.0,1.6777777777777776,4.044444444444445,1.088888888888889,18.211111111111112,0.37777777777777777,0.05555555555555555,0.0,1.2666666666666666,14.677777777777777,1.5333333333333334,2.8333333333333335,1.8111111111111111,80.67171717171718,
PRECIPITAÇÃO MÉDIA TOTAL,0.0,0.0,0.0,0.0,7.542424242424242,0.2503030303030303,0.0,0.0,0.0,0.15454545454545457,9.563636363636364,6.76349862258953,0.8590909090909092,0.13333333333333333,0.0,0.0,10.969696969696969,0.0,0.027272727272727275,2.0757575757575752,4.124242424242424,0.6939393939393939,18.009090909090908,0.11212121212121211,0.015151515151515152,0.0,2.3181818181818183,13.396969696969698,2.557575757575757,1.4393939393939394,2.3151515151515154,83.32137741046833,
