PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
ST - Santana,0.0,3.9,0.0,0.0,2.9,20.5,0.0,16.6,0.0,0.5,2.2,0.0,0.0,0.0,14.0,0.0,0.8,6.4,4.5,38.2,22.3,4.1,0.3,5.2,0.0,11.3,0.0,21.2,4.5,179.4
COMDEC - Carandirú,0.0,1.2,0.8,0.0,2.6,16.0,0.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.8,0.8,2.6,37.8,14.0,0.6,0.2,13.0,0.0,13.3,0.0,18.0,6.8,205.1
PRECIPITAÇÃO MÉDIA - ZN,0.0,7.05,0.1,0.0,7.625,32.074999999999996,0.0625,23.0875,0.0,0.1875,0.325,0.0,0.0,0.0,19.1125,0.125,1.9375000000000002,7.575,4.500000000000001,28.2125,20.2875,3.5250000000000004,0.6499999999999999,13.1625,0.0,15.6,0.17500000000000002,21.2125,4.2375,210.82500000000002
AF - Aricanduva / Vl. Formosa,0.0,0.0,0.0,0.0,5.8,0.2,0.0,7.2,0.0,28.6,7.0,0.0,0.0,0.0,29.8,4.5,11.1,0.0,8.0,8.2,52.4,5.8,1.4,39.0,0.0,2.8,0.2,42.4,16.0,270.4
EM - Ermelino Matarazzo,0.0,0.0,0.0,0.0,5.2,0.2,0.0,3.9000000000000004,0.0,12.0,1.6,0.0,0.0,0.0,29.1,0.0,4.9,1.7,5.8,48.9,17.6,12.6,0.5,82.3,0.0,0.3,0.0,22.3,19.5,268.40000000000003
GU - Guaianazes,0.0,0.0,0.0,0.0,29.5,0.0,0.0,29.0,0.0,5.0,2.0,0.0,0.0,0.0,52.0,0.0,29.1,2.2,19.5,6.8,67.9,14.0,0.8999999999999999,68.6,0.0,0.0,0.0,32.2,6.5,365.2
IQ - Itaquera,0.0,0.0,0.0,0.0,2.8,0.2,0.0,12.0,0.0,8.0,2.0,0.0,0.0,0.0,34.8,0.0,19.599999999999998,3.4000000000000004,16.5,10.6,30.8,11.2,0.4,68.3,0.0,4.4,0.0,26.2,10.0,261.19999999999993
IT - Itaim Paulista,0.0,0.0,0.0,0.0,5.3,27.0,0.4,0.4,0.0,8.4,1.6,0.0,0.0,0.0,28.1,0.0,21.400000000000002,0.4,25.7,24.4,18.0,15.6,2.6,49.8,0.0,2.5,0.2,11.2,6.0,248.99999999999994
MO - Móoca,0.0,0.0,0.0,0.0,5.8999999999999995,5.7,0.0,4.2,0.0,23.7,0.0,0.0,0.0,0.0,62.5,0.0,4.300000000000001,0.0,2.4,42.3,24.7,1.0,6.0,16.4,0.0,2.2,0.0,39.2,9.4,249.9
MP - São Miguel Paulista,0.0,0.0,0.0,0.0,4.8,26.0,0.0,0.3,0.0,15.0,2.0,0.0,0.0,0.0,36.2,0.1,10.8,6.300000000000001,5.5,63.900000000000006,24.8,16.2,2.1,63.9,0.0,8.8,0.0,16.0,10.0,312.7
PE - Penha,0.0,0.0,0.0,0.0,1.9,3.5,0.0,29.2,0.0,18.1,4.3,0.0,0.0,0.0,53.400000000000006,1.2,9.0,0.2,6.0,12.2,16.4,25.1,2.0,39.1,0.0,1.0,0.2,28.6,10.799999999999999,262.2
SM - São Mateus,0.0,0.0,0.0,0.0,9.3,0.0,0.0,3.0,0.0,42.5,5.3,0.0,0.0,0.0,124.6,1.5,78.3,3.0,18.0,6.5,45.0,10.399999999999999,0.2,134.39999999999998,0.0,1.7,0.0,35.6,15.0,534.3
CT - Cidade Tiradentes,0.0,0.0,0.0,0.0,13.5,0.0,0.0,15.0,0.0,1.1,0.0,0.0,0.0,0.0,77.3,0.4,41.5,10.1,72.0,5.8,50.9,17.5,0.2,53.7,0.0,1.4,0.0,13.0,0.4,373.79999999999995
VP - Vila Prudente,0.0,0.0,0.0,0.0,8.8,0.2,0.0,11.0,0.0,9.2,7.2,0.0,0.0,0.0,69.0,0.0,39.2,0.0,16.8,4.0,73.2,1.5,0.7,39.6,0.0,7.4,0.2,35.8,18.5,342.3
PRECIPITAÇÃO MÉDIA - ZL,0.0,0.0,0.0,0.0,8.436363636363636,5.7272727272727275,0.03636363636363637,10.472727272727273,0.0,15.6,3.0,0.0,0.0,0.0,54.25454545454545,0.7000000000000001,24.472727272727273,2.4818181818181824,17.83636363636364,21.236363636363635,38.336363636363636,11.9,1.5454545454545454,59.554545454545455,0.0,2.9545454545454546,0.07272727272727274,27.5,11.100000000000001,317.21818181818185
Consolação (CGE),0.0,0.0,0.0,0.0,14.8,0.8,0.0,22.0,0.0,4.8,0.5,0.0,0.0,0.0,41.800000000000004,0.0,1.2000000000000002,14.8,4.5,14.200000000000001,30.8,0.2,0.0,18.8,0.0,6.2,0.2,28.3,5.7,209.6
SE - Sé,0.0,0.0,0.0,0.0,5.0,3.6,1.3,32.0,0.0,3.7,0.0,0.0,0.0,0.0,34.2,0.0,1.8,4.8,1.4,30.6,13.0,0.2,0.8,12.2,0.0,10.8,0.0,22.6,0.2,178.2
PRECIPITAÇÃO MÉDIA - ZC,0.0,0.0,0.0,0.0,9.9,2.2,0.65,27.0,0.0,4.25,0.25,0.0,0.0,0.0,38.0,0.0,1.5,9.8,2.95,22.400000000000002,21.9,0.2,0.4,15.5,0.0,8.5,0.1,25.450000000000003,2.95,193.89999999999998
BT - Butantã,0.0,11.5,0.0,0.0,5.5,54.7,0.2,18.3,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.1,1.8,15.6,41.7,11.8,34.099999999999994,0.0,1.1,8.1,0.0,18.1,0.2,20.5,6.9,300.19999999999993
LA - Lapa,0.0,26.0,0.0,0.0,15.399999999999999,22.4,0.2,52.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.4,17.0,10.2,45.4,21.0,0.0,0.2,22.099999999999998,0.0,21.0,0.2,16.599999999999998,1.2,316.3
PI - Pinheiros,0.0,4.5,0.0,0.0,6.9,8.2,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,65.8,0.0,11.0,10.0,12.7,8.6,52.0,0.0,0.2,21.6,0.0,10.7,0.2,16.3,13.0,253.29999999999995
PRECIPITAÇÃO MÉDIA - ZO,0.0,14.0,0.0,0.0,9.266666666666666,28.433333333333334,0.13333333333333333,27.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,53.26666666666667,0.03333333333333333,4.733333333333333,14.200000000000001,21.533333333333335,21.933333333333334,35.699999999999996,0.0,0.5,17.266666666666666,0.0,16.599999999999998,0.20000000000000004,17.799999999999997,7.033333333333334,289.93333333333334
MB - M Boi Mirim,0.0,0.0,0.0,0.0,6.0,2.4,0.0,7.5,0.0,0.0,0.8,0.0,0.0,0.0,42.5,1.2,25.8,0.5,70.2,26.4,44.599999999999994,0.0,1.4,22.6,1.0,4.0,0.0,54.0,12.0,322.9
CL - Campo Limpo,0.0,0.0,0.0,0.0,4.0,24.4,0.0,11.6,0.0,0.0,0.6,0.0,0.0,0.0,26.6,0.0,18.6,13.6,51.2,4.0,69.0,0.0,1.2,9.2,2.0,18.2,0.0,36.0,5.0,295.2
CS - Capela do Socorro,0.0,0.0,0.0,0.0,4.6,0.8600000000000001,0.0,4.1,0.0,0.0,14.399999999999999,0.0,0.0,0.0,43.0,8.8,34.5,3.9,76.8,1.3,37.7,0.3,0.6,6.9,0.0,5.6,0.0,26.0,0.8,270.16
IP - Ipiranga,0.0,0.0,0.0,0.0,10.0,0.0,0.0,11.1,0.0,7.1,4.7,0.0,0.0,0.0,70.2,0.4,13.9,3.0,15.0,29.4,76.9,0.0,2.0,13.2,0.0,2.3,0.0,45.3,9.8,314.30000000000007
JA - Jabaquara,0.0,0.0,0.0,0.0,21.5,0.0,0.0,1.5,0.0,0.0,9.0,0.0,0.0,0.0,75.4,2.5,35.1,9.0,37.2,6.5,30.5,0.0,0.5,8.5,0.8,24.5,0.0,33.2,6.3,302
SA - Santo Amaro,0.0,0.0,0.0,0.0,3.8,0.0,0.0,15.7,0.0,0.0,0.4,0.0,0.0,0.0,65.4,0.0,22.0,11.4,60.2,17.5,64.3,0.0,1.6,24.900000000000002,1.0,10.5,0.0,36.7,5.8,341.20000000000005
VM - Vila Mariana,0.0,0.0,0.0,0.0,6.0,4.2,0.0,45.0,0.0,9.2,0.6,0.0,0.0,0.0,93.60000000000001,0.4,7.6,3.3,32.8,47.0,63.8,0.0,0.2,14.600000000000001,0.0,5.6,0.0,32.0,4.0,369.9000000000001
PA - Parelheiros ,0.0,0.0,0.0,0.0,15.0,0.2,0.0,23.1,0.0,2.8,14.5,0.0,0.0,0.0,153.3,22.8,50.099999999999994,12.6,6.3,0.0,28.2,0.1,0.8,1.7,1.0,5.4,0.0,74.5,13.0,425.40000000000003
AD - Cidade Ademar,0.0,0.0,0.0,0.0,4.4,0.0,0.0,1.0,0.0,0.0,6.4,0.0,0.0,0.0,48.800000000000004,2.6,29.2,13.2,42.4,10.6,26.2,0.0,1.4,16.2,0.0,4.6,0.0,40.8,3.8,251.59999999999997
PRECIPITAÇÃO MÉDIA - ZS,0.0,0.0,0.0,0.0,8.366666666666667,3.5622222222222217,0.0,13.399999999999999,0.0,2.122222222222222,5.711111111111111,0.0,0.0,0.0,68.75555555555555,4.300000000000001,26.31111111111111,7.833333333333333,43.56666666666666,15.855555555555554,49.022222222222226,0.044444444444444446,1.0777777777777777,13.08888888888889,0.6444444444444444,8.966666666666665,0.0,42.05555555555556,6.722222222222221,321.40666666666664
PRECIPITAÇÃO MÉDIA TOTAL,0.0,2.981818181818182,0.024242424242424242,0.0,8.384848484848488,13.374545454545453,0.0787878787878788,16.86060606060606,0.0,6.081818181818181,2.6515151515151514,0.0,0.0,0.0,48.615151515151524,1.4393939393939397,16.32424242424242,6.684848484848485,21.05454545454545,21.593939393939394,35.63939393939394,4.845454545454546,1.0363636363636362,29.121212121212118,0.17575757575757575,9.236363636363636,0.09090909090909091,28.93939393939394,7.37878787878788,282.61393939393946
