PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,TOTAL
ST - Santana,3.6,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.1,27.0,62.4,16.4,4.1,2.0,0.0,0.0,28.3,0.0,2.7,0.0,0.5,0.0,18.6,11.8,13.9,0.0,90.3,0.0,0.0,291.2
COMDEC - Carandirú,2.5,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,55.0,45.50000000000001,16.0,11.899999999999999,3.2,0.0,0.0,13.9,0.0,0.6,0.0,0.5,0.0,20.8,9.7,7.1000000000000005,45.3,16.5,0.0,0.0,257.4
PRECIPITAÇÃO MÉDIA - ZN,3.4250000000000003,0.2875,0.0,0.0,0.0,0.0,14.750000000000002,0.0875,3.7875,20.825000000000003,34.875,11.424999999999999,4.425,3.0500000000000003,0.6875,0.0,18.7375,0.125,2.7,0.1,1.7,0.3375,12.049999999999999,9.7375,7.9125,9.325,29.112499999999997,0.0,0.0,187.375
AF - Aricanduva / Vl. Formosa,23.2,2.9,0.0,0.0,0.0,0.0,0.0,3.8,14.6,48.2,28.5,15.2,9.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,4.6,5.2,11.5,11.2,11.0,0.0,0.0,207
EM - Ermelino Matarazo,21.1,4.5,0.0,0.0,0.0,0.0,0.0,24.4,7.0,31.0,18.5,35.7,0.5,10.7,0.0,0.0,7.3,0.0,0.0,1.4,0.6,1.3,2.5,5.0,26.2,0.1,62.2,0.0,0.0,260
GU - Guaianazes,8.9,0.0,0.0,0.0,0.0,0.0,0.0,6.3,7.0,42.199999999999996,7.199999999999999,19.6,4.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.2,4.2,0.4,20.6,0.0,3.2,0.0,0.0,142.2
IQ - Itaquera,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,24.0,10.5,5.8,5.1,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9000000000000001,0.0,1.2,0.0,14.1,0.0,23.4,0.0,0.0,104.29999999999998
IT - Itaim Paulista,20.5,0.0,0.0,0.0,0.0,0.0,0.0,43.2,37.2,45.0,63.2,48.4,1.4,26.0,0.0,0.0,4.2,0.0,0.0,0.0,1.0,2.3,3.0,2.8,31.8,0.0,28.4,0.0,0.0,358.4
MO - Móoca,17.0,0.8,0.0,0.0,0.0,0.0,0.5,6.0,1.9,47.900000000000006,29.6,3.0,9.3,11.2,0.0,0.0,3.1,0.0,0.0,0.0,0.5,0.0,24.5,0.0,6.1,12.8,9.7,0.0,0.0,183.9
MP - São Miguel Paulista,12.6,0.5,0.0,0.0,0.0,0.0,0.0,37.5,20.2,36.1,51.6,43.0,0.8,18.7,0.0,0.0,5.1,0.0,0.0,2.1,2.9,0.0,4.1,4.9,25.7,0.0,45.9,0.0,0.0,311.7
PE - Penha,35.0,5.6,0.0,0.0,0.0,0.0,0.0,8.7,19.9,12.399999999999999,29.2,29.1,0.6,5.2,0.0,0.0,4.5,0.0,0.0,0.0,1.4,0.0,5.2,7.5,11.1,14.600000000000001,13.5,0.0,0.0,203.49999999999997
SM - São Mateus,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,50.0,24.0,11.1,2.7,5.4,5.5,0.0,3.8,0.0,0.0,2.0,0.1,0.0,3.0,0.0,54.0,7.5,2.5,0.0,0.0,210.6
