PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO- 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL,
PR - Perus,11.600000000000001,9.3,0.6,0.0,0.0,1.9,0.6,12.0,0.0,0.0,0.0,0.0,3.5,9.3,29.6,8.9,15.6,0.6,3.8,26.599999999999998,1.8,1.0999999999999999,1.6,3.0,0.0,0.0,8.0,0.0,12.1,21.0,0.3,182.8,
ST - Santana,4.5,12.7,0.0,0.0,0.0,35.4,0.0,4.1,0.0,0.0,0.0,0.0,11.6,40.2,46.0,6.3,12.3,0.0,25.8,34.5,26.2,4.5,1.7,16.4,0.0,0.0,0.4,0.0,47.3,24.5,0.0,354.4,
COMDEC - Carandirú,17.5,7.2,0.0,0.0,4.8,55.1,0.0,2.0,0.0,0.0,0.0,0.0,19.3,122.5,61.5,4.0,27.0,0.0,46.7,60.3,32.0,4.65,0.0,47.0,0.0,0.0,5.3,0.0,58.5,13.5,0.0,588.8499999999999,
PRECIPITAÇÃO MÉDIA - ZN,9.02,12.07375,0.0,0.0,0.8125,23.3125,0.075,15.987499999999997,0.0,0.0,0.0,0.0,7.074999999999999,42.4375,0.0,6.1625,18.214999999999996,0.6124999999999999,27.503750000000004,25.4375,17.8,3.58875,3.62,14.55375,0.0,0.0,10.049999999999999,0.0,37.4,20.9825,0.6749999999999999,338.22,
AF - Aricanduva / Vl. Formosa,9.9,5.6,0.0,0.0,18.0,28.2,0.0,0.2,0.0,0.0,0.0,0.0,6.0,40.5,37.6,8.4,13.2,1.7,16.5,47.0,0.8,5.5,1.3,34.6,0.0,0.0,0.0,0.0,17.700000000000003,0.0,0.0,292.7,
EM - Ermelino Matarazo,8.35,4.1,0.0,0.0,8.7,3.4000000000000004,0.0,0.1,0.0,0.0,0.0,0.0,11.0,29.4,24.6,2.7,10.6,0.4,43.2,36.5,27.3,7.5,2.8,31.8,0.0,0.0,13.0,0.1,26.0,6.0,1.5,299.05000000000007,
GU - Guaianazes,35.0,12.8,0.0,0.0,0.0,17.0,0.0,9.9,0.0,0.0,0.0,0.0,20.5,42.6,19.6,8.5,7.199999999999999,0.0,30.3,33.7,1.2,19.6,3.4000000000000004,17.4,0.0,0.0,6.3999999999999995,0.4,48.4,9.5,0.2,343.5999999999999,
IQ - Itaquera,29.5,3.0,0.1,0.0,0.0,15.01,0.0,12.0,0.0,0.0,0.0,0.0,11.2,24.6,26.2,2.1,9.2,0.0,37.4,15.0,2.0,7.9,1.1,24.1,0.0,0.0,11.3,0.0,43.0,3.0,0.1,277.81000000000006,
IT - Itaim Paulista,48.800000000000004,3.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,11.6,29.299999999999997,28.5,3.1,7.9,0.0,32.1,29.4,16.2,21.0,1.3,16.6,0.0,0.0,9.0,0.0,29.0,11.0,0.0,307.8,
MO - Móoca,37.7,4.2,0.0,0.0,1.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,52.7,37.5,2.8,10.2,0.0,34.1,22.0,36.3,10.1,1.5,35.0,0.0,0.0,0.0,0.0,21.700000000000003,18.1,1.4,375.5,
MP - São Miguel Paulista,31.5,10.1,0.2,0.0,0.0,7.7,0.0,4.2,0.0,0.0,0.0,0.0,7.7,42.4,41.0,2.4,10.399999999999999,0.6000000000000001,37.2,36.7,15.399999999999999,7.5,1.2,31.4,0.0,0.0,10.2,0.0,34.6,21.0,0.7,354.1,
PE - Penha,9.7,11.2,0.0,0.0,12.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,7.3,28.2,36.4,6.1,3.5999999999999996,0.0,23.0,30.2,19.9,11.5,5.3,42.9,0.0,0.0,9.1,0.0,22.8,8.8,0.0,289.90000000000003,
SM - São Mateus,29.0,6.8,0.0,0.0,1.5,45.0,0.0,3.0,0.0,0.0,0.0,0.0,23.4,31.1,32.0,4.0,5.6,0.0,26.8,44.2,3.8,18.8,3.6,8.0,0.0,0.0,1.6,0.0,18.0,6.2,0.0,312.40000000000003,
CT - Cidade Tiradentes,11.2,2.2,8.3,0.0,0.0,4.0,7.0,0.8,0.0,0.0,0.0,0.0,17.5,37.3,30.5,3.8,6.4,0.0,34.2,35.4,1.7,22.299999999999997,4.9,15.8,0.0,0.0,2.0,0.0,21.9,1.9,0.0,269.09999999999997,
VP - Vila Prudente,15.100000000000001,1.8,0.0,0.0,2.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,26.4,50.0,8.7,3.2,0.0,25.599999999999998,4.8,6.0,4.8,1.7,14.0,0.0,0.0,0.0,0.0,12.6,9.5,0.0,212.99999999999997,
PRECIPITAÇÃO MÉDIA - ZL,24.15909090909091,5.890909090909091,0.0,0.0,4.018181818181818,16.11,0.6363636363636364,3.472727272727273,0.0,0.0,0.0,0.0,12.563636363636364,34.954545454545446,33.08181818181818,4.781818181818181,7.954545454545453,0.24545454545454548,30.94545454545455,30.44545454545454,11.872727272727273,12.409090909090908,2.5545454545454542,24.69090909090909,0.0,0.0,5.690909090909091,0.045454545454545456,26.881818181818186,8.636363636363637,0.35454545454545455,303.1781818181818,
Consolação (CGE),14.2,1.2,0.0,0.0,6.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,56.75,21.8,61.4,3.75,12.2,0.2,33.25,11.6,10.5,8.5,0.0,23.0,0.0,0.0,1.5,0.0,37.0,14.3,0.0,338.95,
SE - Sé,16.0,6.2,0.0,0.0,5.8,36.7,0.0,0.0,0.0,0.0,0.0,0.0,19.7,26.2,42.0,7.9,12.0,0.0,36.0,15.7,10.1,7.7,0.4,35.4,0.0,0.0,0.0,0.0,18.7,15.0,0.0,311.5,
