PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP - Ipiranga,24.400000000000002,0.8,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8,0.0,0.4,1.0,0.0,7.4,1.8,0.0,0.0,0.0,10.4,1.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0,127.20000000000002,,
JA - Jabaquara,22.3,1.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,8.5,1.5,39.2,0.0,0.0,0.0,0.0,4.0,1.8,0.0,0.2,2.2,20.8,16.1,0.0,0.0,0.0,4.5,0.0,0.0,0.0,122.5,,
SA - Santo Amaro,15.999999999999998,1.5999999999999999,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,1.5999999999999999,2.2,0.0,9.2,4.0,64.2,14.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,147.20000000000002,,
VM - Vila Mariana,29.6,0.8,1.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,0.0,4.2,25.2,0.0,0.2,1.8,13.8,2.4000000000000004,0.0,0.0,0.0,23.6,0.0,0.0,0.0,106.4,,
PA - Parelheiros ,10.699999999999998,2.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.8,0.0,13.0,0.0,3.0,0.2,0.0,1.0,3.4000000000000004,0.0,0.0,15.600000000000001,17.6,5.7,2.2,0.0,0.0,6.8,1.6,0.0,0.0,85.8,,
AD - Cidade Ademar,14.899999999999999,0.2,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5,29.5,0.0,0.0,0.0,0.0,2.8,1.5,14.5,10.8,1.2,34.0,4.3,0.0,0.0,0.0,3.2,0.0,0.0,0.0,120.19999999999999,,
PRECIPITAÇÃO MÉDIA - ZS,17.066666666666666,0.9333333333333331,0.6222222222222222,0.0,0.24444444444444446,0.0,0.0,0.3222222222222222,0.0,0.0,1.1444444444444446,0.4444444444444444,29.081111111111113,0.0,0.37777777777777777,0.4000000000000001,0.0,4.08,4.788888888888889,1.6111111111111112,4.055555555555555,3.7222222222222223,28.444444444444443,6.855555555555555,0.3333333333333333,0.0,0.0,6.844444444444444,0.3111111111111111,0.0,0.0,111.68333333333334,,
PRECIPITAÇÃO MÉDIA TOTAL,29.395757575757568,0.9787878787878787,0.32727272727272716,0.0,0.46060606060606063,0.0,0.0,0.16666666666666666,0.0,0.0,0.31212121212121213,1.1454545454545455,15.876666666666665,0.0,0.5333333333333333,4.048484848484848,1.5909090909090906,13.192424242424243,5.306060606060606,0.4393939393939394,1.8606060606060608,1.4969696969696968,20.357272727272726,5.466666666666667,0.17272727272727273,0.0,0.0,6.133333333333334,0.48484848484848486,0.0,0.0,109.74636363636364,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
