PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
SIURB - Secretaria Municipal de Infraestrutura Urbana e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - ABRIL - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,TOTAL
PRECIPITAÇÃO MÉDIA - ZO,8.233333333333334,0.06666666666666667,0.0,1.7666666666666666,0.0,0.0,0.0,1.9000000000000001,0.0,0.0,0.0,0.0,4.8,0.26666666666666666,0.5666666666666668,1.0,0.6,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999999,3.6666666666666665,23.866666666666664
MB - M Boi Mirim,13.7,0.6,0.2,1.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,1.4000000000000001,1.3,0.1,0.4,1.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000001,3.4000000000000004,26.699999999999996
CL - Campo Limpo,11.9,0.6,0.1,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.30000000000000004,3.4,0.4,0.2,0.3,1.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,2.7,22.6
CS - Capela do Socorro,13.0,1.2,0.5,2.1,0.2,0.0,0.0,0.6,0.0,0.0,0.0,1.3,0.8,3.2,0.4,0.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,2.3,32.199999999999996
IP - Ipiranga,8.5,0.1,0.0,0.1,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.2000000000000002,1.4,0.0,2.4,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.7000000000000002,21.099999999999998
JA - Jabaquara,11.5,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.1,0.2,1.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,23.5
SA - Santo Amaro,9.4,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,2.2,0.8,0.4,0.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,17.9
VM - Vila Mariana,9.0,0.2,0.0,0.1,0.1,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.5,0.6,0.0,1.4,0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6999999999999997,2.2,20.599999999999998
PA - Parelheiros ,21.700000000000003,9.2,3.2,2.9,1.0,0.0,0.0,1.3,0.0,0.0,0.0,11.1,1.8,13.899999999999999,1.4,3.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,14.299999999999999,109.60000000000001
AD - Cidade Ademar,13.2,0.4,0.1,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,3.0,0.4,1.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.4,29.499999999999996
PRECIPITAÇÃO MÉDIA - ZS,12.433333333333334,1.4,0.4555555555555555,0.9333333333333333,0.19999999999999998,0.0,0.0,0.7,0.0,0.0,0.0,1.5333333333333334,1.6777777777777778,2.966666666666667,0.34444444444444444,1.4777777777777779,1.8999999999999997,0.0,0.14444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000000000000001,3.5777777777777775,33.74444444444444
PRECIPITAÇÃO MÉDIA TOTAL,7.62121212121212,0.5242424242424243,0.13939393939393935,2.2393939393939393,0.0878787878787879,0.0,0.0,9.190909090909093,0.0,0.0,0.0,0.4181818181818182,1.8939393939393943,1.4121212121212119,0.25151515151515147,1.4272727272727272,0.6484848484848486,0.0,0.1575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3515151515151516,6.1909090909090905,34.55454545454545
